Course,ID,Type
Bioengineering,102106083.0,Elective
Bioengineering,102103086.0,Elective
Bioengineering,127103225.0,Elective
Bioengineering,117108148.0,Elective
Bioengineering,102106095.0,Elective
Bioengineering,102106093.0,Elective
Bioengineering,102106098.0,Elective
Bioengineering,102103097.0,Elective
Bioengineering,102108344.0,Elective
Bioengineering,102106345.0,Elective
Bioengineering,127105391.0,Elective
Bioengineering,102104459.0,Elective
Bioengineering,127105531.0,Elective
Bioengineering,121108458.0,Elective
Bioengineering,102106457.0,Elective
Bioengineering,102106553.0,Elective
Bioengineering,102107557.0,Elective
Bioengineering,102106667.0,Elective
Bioengineering,127108778.0,Elective
Bioengineering,102106819.0,Elective
Bioengineering,102102817.0,Elective
Bioengineering,102106820.0,Elective
Biosciences,102107075.0,Elective
Biosciences,102104059.0,Elective
Biosciences,102104052.0,Elective
Biosciences,104105102.0,Elective
Biosciences,102103074.0,Elective
Biosciences,102101082.0,Elective
Biosciences,102101055.0,Elective
Biosciences,102103083.0,Elective
Biosciences,102106084.0,Elective
Biosciences,102105083.0,Elective
Biosciences,102105089.0,Elective
Biosciences,117108148.0,Elective
Biosciences,102103093.0,Elective
Biosciences,102106097.0,Elective
Biosciences,102103097.0,Elective
Biosciences,109106198.0,Elective
Biosciences,102104099.0,Elective
Biosciences,102106345.0,Elective
Biosciences,102106553.0,Elective
Biosciences,102106752.0,Elective
Biosciences,102108668.0,Elective
Biosciences,102106751.0,Elective
Biosciences,102106667.0,Elective
Biosciences,127108778.0,Elective
Biosciences,102106818.0,Elective
Biosciences,102106821.0,Elective
Computational Biology,102106068.0,Elective
Computational Biology,102106070.0,Elective
Computational Biology,102103056.0,Elective
Computational Biology,102101076.0,Elective
Computational Biology,106105230.0,Elective
Computational Biology,102105100.0,Elective
Computational Biology,102103092.0,Elective
Computational Biology,127105391.0,Elective
Computational Biology,102106457.0,Elective
Computational Biology,102104056.0,Elective
Computational Biology,102105556.0,Elective
Computational Biology,106108571.0,Elective
Computational Biology,103101568.0,Elective
Computational Biology,103106681.0,Elective
Computational Biology,127108778.0,Elective
Minor 1,103103145.0,Elective
Minor 1,103103154.0,Elective
Minor 1,103103155.0,Elective
Minor 1,103101137.0,Elective
Minor 1,103105140.0,Elective
Minor 1,103103221.0,Elective
Minor 1,103105461.0,Elective
Minor 1,127105531.0,Elective
Minor 1,112108615.0,Elective
Minor 1,103107676.0,Elective
Computational Chemical Engineering,103105139.0,Elective
Computational Chemical Engineering,103106119.0,Elective
Computational Chemical Engineering,103102352.0,Elective
Computational Chemical Engineering,127106225.0,Elective
Computational Chemical Engineering,103103164.0,Elective
Computational Chemical Engineering,103103209.0,Elective
Computational Chemical Engineering,103105215.0,Elective
Computational Chemical Engineering,103105220.0,Elective
Computational Chemical Engineering,103103675.0,Elective
Energy and Environment,103107125.0,Elective
Energy and Environment,103107157.0,Elective
Energy and Environment,112105221.0,Elective
Energy and Environment,109106161.0,Elective
Energy and Environment,103108162.0,Elective
Energy and Environment,103103207.0,Elective
Energy and Environment,113105102.0,Elective
Energy and Environment,115105127.0,Elective
Energy and Environment,103107212.0,Elective
Energy and Environment,103101215.0,Elective
Energy and Environment,127106004.0,Elective
Energy and Environment,103103222.0,Elective
Energy and Environment,127103236.0,Elective
Energy and Environment,112106318.0,Elective
Energy and Environment,109107397.0,Elective
Energy and Environment,103105460.0,Elective
Energy and Environment,120108558.0,Elective
Energy and Environment,120105559.0,Elective
Energy and Environment,103105680.0,Elective
Energy and Environment,115102794.0,Elective
Energy and Environment,105105731.0,Elective
Energy and Environment,103105837.0,Elective
Minor 2,103106148.0,Elective
Minor 2,103105166.0,Elective
Minor 2,103107156.0,Elective
Minor 2,103107207.0,Elective
Minor 2,103105210.0,Elective
Minor 2,103107211.0,Elective
Minor 2,103105216.0,Elective
Minor 2,103103217.0,Elective
Minor 2,127101530.0,Elective
Minor 2,103105782.0,Elective
Minor 3,103105128.0,Elective
Minor 3,103106159.0,Elective
Minor 3,103108220.0,Elective
Minor 3,103106158.0,Elective
Minor 3,127103225.0,Elective
Minor 3,103105353.0,Elective
Minor 3,103107208.0,Elective
Minor 3,103101209.0,Elective
Minor 3,103105216.0,Elective
Minor 3,103107220.0,Elective
Minor 3,104101139.0,Elective
Minor 3,103103355.0,Elective
Minor 3,103104569.0,Elective
Minor 3,103106570.0,Elective
Minor 3,102106673.0,Elective
Minor 3,103105677.0,Elective
Minor 3,103105679.0,Elective
Minor 3,103105836.0,Elective
Minor 3,103108834.0,Elective
Polymers and Colloidal Materials,103103139.0,Elective
Polymers and Colloidal Materials,103107139.0,Elective
Polymers and Colloidal Materials,112107221.0,Elective
Polymers and Colloidal Materials,112104221.0,Elective
Polymers and Colloidal Materials,113105077.0,Elective
Polymers and Colloidal Materials,105105184.0,Elective
Polymers and Colloidal Materials,103106131.0,Elective
Polymers and Colloidal Materials,103107206.0,Elective
Polymers and Colloidal Materials,102107557.0,Elective
Polymers and Colloidal Materials,103107676.0,Elective
Polymers and Colloidal Materials,103105795.0,Elective
Polymers and Colloidal Materials,103101786.0,Elective
Polymers and Colloidal Materials,102106820.0,Elective
Construction Materials Technology,105104157.0,Elective
Construction Materials Technology,105106187.0,Elective
Construction Materials Technology,105106200.0,Elective
Construction Materials Technology,105106202.0,Elective
Construction Materials Technology,105102195.0,Elective
Construction Materials Technology,124105013.0,Elective
Construction Materials Technology,105104206.0,Elective
Construction Materials Technology,124107160.0,Elective
Construction Materials Technology,105106225.0,Elective
Construction Materials Technology,124106455.0,Elective
Construction Materials Technology,112102773.0,Elective
Structural Analysis,105106172.0,Elective
Structural Analysis,105105177.0,Elective
Structural Analysis,105107209.0,Elective
Structural Analysis,105105200.0,Elective
Structural Analysis,105103207.0,Elective
Structural Analysis,105105217.0,Elective
Structural Analysis,105105224.0,Elective
Structural Analysis,105105690.0,Elective
Structural Analysis,105104693.0,Elective
Structural Analysis,112102773.0,Elective
Structural Analysis,112106912.0,Elective
Structural Analysis,105104825.0,Elective
Structural Design,105106197.0,Elective
Structural Design,105105216.0,Elective
Structural Design,105105213.0,Elective
Structural Design,105106216.0,Elective
Structural Design,105105224.0,Elective
Structural Design,105104224.0,Elective
Structural Design,105106224.0,Elective
Structural Design,105106564.0,Elective
Structural Design,105106686.0,Elective
Structural Design,105103687.0,Elective
Structural Design,112102773.0,Elective
Structural Design,105106830.0,Elective
Environment,105105169.0,Elective
Environment,105102175.0,Elective
Environment,105107181.0,Elective
Environment,105106145.0,Elective
Environment,105105184.0,Elective
Environment,105107206.0,Elective
Environment,105101206.0,Elective
Environment,124107160.0,Elective
Environment,105101213.0,Elective
Environment,105101214.0,Elective
Environment,105101215.0,Elective
Environment,109105203.0,Elective
Environment,124106551.0,Elective
Environment,105106694.0,Elective
Environment,105106707.0,Elective
Environment,105105731.0,Elective
Environment,112102773.0,Elective
Environment,105106829.0,Elective
Environment,105106831.0,Elective
Artificial Intelligence,106106184.0,Elective
Artificial Intelligence,106105215.0,Elective
Artificial Intelligence,106106224.0,Elective
Artificial Intelligence,106106143.0,Elective
Artificial Intelligence,106106158.0,Elective
Artificial Intelligence,106105216.0,Elective
Artificial Intelligence,106105158.0,Elective
Artificial Intelligence,106106211.0,Elective
Artificial Intelligence,106106213.0,Elective
Artificial Intelligence,106106244.0,Elective
Artificial Intelligence,106101360.0,Elective
Artificial Intelligence,106106472.0,Elective
Artificial Intelligence,106106849.0,Elective
Artificial Intelligence,106108571.0,Elective
Artificial Intelligence,108105572.0,Elective
Artificial Intelligence,106106575.0,Elective
Artificial Intelligence,106102576.0,Elective
Artificial Intelligence,106108705.0,Elective
Artificial Intelligence,106103843.0,Elective
Artificial Intelligence,106108840.0,Elective
Data Science,106106184.0,Elective
Data Science,106105215.0,Elective
Data Science,106106224.0,Elective
Data Science,106106143.0,Elective
